src_ip,total_packets,unique_dest_ips,avg_packets_per_min,packets_to_same_dest,packet_categ
192.168.0.219,43,42,0.7166666666666667,2,0
192.168.0.22,36,36,0.6,1,0
192.168.0.220,44,42,0.7333333333333333,2,0
192.168.0.221,39,36,0.65,2,0
192.168.0.222,28,27,0.4666666666666667,2,0
192.168.0.223,38,37,0.6333333333333333,2,0
192.168.0.224,36,36,0.6,1,0
192.168.0.225,49,45,0.8166666666666667,2,0
192.168.0.226,39,37,0.65,2,0
192.168.0.227,38,35,0.6333333333333333,2,0
192.168.0.228,52,44,0.8666666666666667,3,0
192.168.0.229,41,38,0.6833333333333333,2,0
192.168.0.23,46,39,0.7666666666666667,3,0
192.168.0.230,43,38,0.7166666666666667,3,0
192.168.0.231,41,39,0.6833333333333333,2,0
192.168.0.232,39,35,0.65,2,0
192.168.0.233,37,35,0.6166666666666667,2,0
192.168.0.234,42,40,0.7,2,0
192.168.0.235,33,30,0.55,2,0
192.168.0.236,37,34,0.6166666666666667,3,0
192.168.0.237,41,37,0.6833333333333333,2,0
192.168.0.238,38,35,0.6333333333333333,2,0
192.168.0.239,43,39,0.7166666666666667,2,0
192.168.0.24,35,33,0.5833333333333334,2,0
192.168.0.240,44,41,0.7333333333333333,2,0
192.168.0.241,32,31,0.5333333333333333,2,0
192.168.0.242,35,31,0.5833333333333334,3,0
192.168.0.243,36,35,0.6,2,0
192.168.0.244,53,46,0.8833333333333333,2,0
192.168.0.245,35,33,0.5833333333333334,2,0
192.168.0.246,48,45,0.8,2,0
192.168.0.247,44,42,0.7333333333333333,2,0
192.168.0.248,46,41,0.7666666666666667,2,0
192.168.0.249,39,34,0.65,2,0
192.168.0.25,40,38,0.6666666666666666,2,0
192.168.0.250,40,37,0.6666666666666666,2,0
192.168.0.251,30,26,0.5,2,0
192.168.0.252,36,34,0.6,2,0
192.168.0.253,47,45,0.7833333333333333,3,0
192.168.0.254,32,30,0.5333333333333333,2,0
192.168.0.26,39,37,0.65,2,0
192.168.0.27,47,44,0.7833333333333333,2,0
192.168.0.28,37,35,0.6166666666666667,2,0
192.168.0.29,43,39,0.7166666666666667,2,0
192.168.0.3,45,38,0.75,3,0
192.168.0.30,45,41,0.75,2,0
192.168.0.31,52,46,0.8666666666666667,2,0
192.168.0.32,32,31,0.5333333333333333,2,0
192.168.0.33,43,39,0.7166666666666667,2,0
192.168.0.34,38,35,0.6333333333333333,2,0
192.168.0.35,48,45,0.8,2,0
192.168.0.36,51,50,0.85,2,0
192.168.0.37,45,42,0.75,2,0
192.168.0.38,43,40,0.7166666666666667,2,0
192.168.0.39,35,32,0.5833333333333334,2,0
192.168.0.4,40,39,0.6666666666666666,2,0
192.168.0.40,36,35,0.6,2,0
192.168.0.41,34,32,0.5666666666666667,2,0
192.168.0.42,43,42,0.7166666666666667,2,0
192.168.0.43,31,30,0.5166666666666667,2,0
192.168.0.44,41,36,0.6833333333333333,2,0
192.168.0.45,38,35,0.6333333333333333,2,0
192.168.0.46,43,39,0.7166666666666667,2,0
192.168.0.47,46,42,0.7666666666666667,2,0
192.168.0.48,41,39,0.6833333333333333,2,0
192.168.0.49,37,33,0.6166666666666667,2,0
192.168.0.5,35,32,0.5833333333333334,2,0
192.168.0.50,40,38,0.6666666666666666,2,0
192.168.0.51,38,33,0.6333333333333333,2,0
192.168.0.52,36,35,0.6,2,0
192.168.0.53,36,34,0.6,2,0
192.168.0.54,44,43,0.7333333333333333,2,0
192.168.0.55,47,42,0.7833333333333333,2,0
192.168.0.56,38,36,0.6333333333333333,2,0
192.168.0.57,36,33,0.6,2,0
192.168.0.58,46,43,0.7666666666666667,2,0
192.168.0.59,42,37,0.7,3,0
192.168.0.6,40,35,0.6666666666666666,2,0
192.168.0.60,49,47,0.8166666666666667,2,0
192.168.0.61,37,33,0.6166666666666667,3,0
192.168.0.62,41,36,0.6833333333333333,2,0
192.168.0.63,42,39,0.7,2,0
192.168.0.64,34,34,0.5666666666666667,1,0
192.168.0.65,34,30,0.5666666666666667,2,0
192.168.0.66,42,36,0.7,2,0
192.168.0.67,38,36,0.6333333333333333,2,0
192.168.0.68,37,35,0.6166666666666667,2,0
192.168.0.69,29,28,0.48333333333333334,2,0
192.168.0.7,43,40,0.7166666666666667,2,0
192.168.0.70,42,40,0.7,2,0
192.168.0.71,47,43,0.7833333333333333,2,0
192.168.0.72,40,36,0.6666666666666666,2,0
192.168.0.73,36,32,0.6,3,0
192.168.0.74,34,30,0.5666666666666667,2,0
192.168.0.75,37,35,0.6166666666666667,2,0
192.168.0.76,43,37,0.7166666666666667,3,0
192.168.0.77,40,37,0.6666666666666666,2,0
192.168.0.78,41,37,0.6833333333333333,2,0
192.168.0.79,31,29,0.5166666666666667,2,0
192.168.0.8,30,28,0.5,2,0
192.168.0.80,40,36,0.6666666666666666,2,0
192.168.0.81,51,48,0.85,3,0
192.168.0.82,36,34,0.6,2,0
192.168.0.83,42,36,0.7,2,0
192.168.0.84,48,43,0.8,2,0
192.168.0.85,38,36,0.6333333333333333,2,0
192.168.0.86,38,36,0.6333333333333333,2,0
192.168.0.87,43,39,0.7166666666666667,3,0
192.168.0.88,38,35,0.6333333333333333,2,0
192.168.0.89,47,44,0.7833333333333333,2,0
192.168.0.9,35,33,0.5833333333333334,2,0
192.168.0.90,30,29,0.5,2,0
192.168.0.91,42,40,0.7,2,0
192.168.0.92,39,36,0.65,2,0
192.168.0.93,41,40,0.6833333333333333,2,0
192.168.0.94,42,39,0.7,2,0
192.168.0.95,46,43,0.7666666666666667,2,0
192.168.0.96,52,49,0.8666666666666667,2,0
192.168.0.97,32,29,0.5333333333333333,2,0
192.168.0.98,42,40,0.7,2,0
192.168.0.99,28,26,0.4666666666666667,2,0
